meeting_id,meeting_year,issue_no,issue_text,action_text,future_plan_text,status,source_page
UNMAPPED_REPORT_2020,20,4,코로나19로인해급변한상황을 고려하여5개년성과관리계획을 수정할것,조치완료 코로나19 상황을고려한성과관리전략계획(2021~2025) ㅇ 수립완료(‘21.3.),null,complete,27
UNMAPPED_REPORT_2020,20,11,보조금유용등위법행위가발생 하지않도록노력하고필요시 보조사업에대한기획감사를실시할것,"보조사업점검 ㅇ - 사전모니터링시스템을통한점검(’21.2월∼3월) - 집중점검사업: 연도별4∼5개사업선정, 연2회현장점검 * 선정기준: 국민생활과밀접, 규모100억원이상, 최근적발된사업등 - 관계부처(기재부) 합동현장점검: ‘21년상반기총10회 - 사업별점검: 현장·온라인·서면점검(상시) 회계감사* - 및정산을통한사후검증(상시) * 10억원이상보조사업자의감사보고서제출의무 보조금부정수급적발및처리(’20년하반기∼) ㅇ - 7건적발, 보조금환수및참여제한조치완료",보조사업상시점검및보조금부정수급관리철저 ㅇ,complete,28
UNMAPPED_REPORT_2020,20,16,"국어기본법제14조1항에명시된 ‘공공기관등은공문서를일반 국민이알기쉬운용어와문장으로 써야하며, 어문규범에맞추어 한글로작성해야한다’는목적에 부합할수있도록, 각부처 및 지자체의 생소한 외국어 남용을줄이고한글사용을 높일수있는방안을마련할것","조치완료 공공기관등대상공공언어개선사업추진 ㅇ - 어려운외국어새말대체어제공체계운영확대 ‘20년중앙정부·지자체보도자료제목, 언론사20개매체→’21년중앙정부· * 지자체보도자료제목+내용, 언론사30개매체점검·개선요청 - 어려운용어국민제보및공공언어사전상담창구운영등 공공언어통합관리지원체계지속운영 - 공공기관및학술분야전문용어정비사업추진 - 신문·방송·인터넷등을통해쉬운우리말쓰기홍보추진 공공기관대상공문서등의평가(쉽고바른우리말쓰기) 제도기반마련 ㅇ - 공문서등의평가신설및국어책임관지정기관확대등을 내용으로하는국어기본법개정(’21.6.15공포, ‘21.12.16 시행예정)",null,complete,30
UNMAPPED_REPORT_2020,20,19,"세종대왕기념사업회는토지사용료 납부, 내부조직운영문제등자구책을 마련할역량이부족한상황이므로, 문체부에예산및정책적지원 방안을마련할것","보조사업지원(‘21. 5월) ㅇ - 세종대왕전통예술경연대회, 한글날기념공모전및온라인대회 개최(세종날기념글짓기대회, 한글글꼴공모전, 외국인글씨쓰기 대회, 한글문화상품아이디어공모전등) 등250백만원 법인사무관련현장점검(‘21.7.6.) ㅇ - 법인의운영상황, 국유재산납부계획등현장점검","법인사무검사및후속대책마련: ’21.12. ㅇ ~ * 현세종대왕기념사업회는사단법인으로국유재산감면대상이아니며, 법적근거없이예산및정책적지원어려움",active,31
UNMAPPED_REPORT_2020,20,22,한국에있는외국인창업교육등 한식세계화를 위한 대책을 마련할것,조치완료 국내거주외국인인플루언서협력한식홍보영상제작 ㅇ (’20.12.~’21.5./영상4편) 국내거주외국인등대상한식문화교육·홍보를위한거점 ㅇ 기관용매뉴얼개발(’20.11월~’21.9월),null,complete,32
UNMAPPED_REPORT_2020,20,27,문화ODA 확대를위해수원국 소재공관과협력하여확인한 문화사업수요를바탕으로신규 사업발굴등을적극추진할것,"조치완료 수원국및소재공관대상으로신규문화ODA 사업수요 ㅇ 조사실시(21개국, `21.1.15.~2.8.) 8개국, 18개사업접수 *",수원국및소재공관과협력하여현지수요에맞는문화 ㅇ ODA 사업을확대해나감으로써문화강국으로서한국의 위상제고에더욱노력하겠음,complete,32
UNMAPPED_REPORT_2020,20,34,"팀장급예술인들의고용보험 적용제외가우려되는바, 모든 노무제공자를포괄할수있는 명시적규정을마련하고, 신진 및경력단절예술인의정의를 명확히할것","조치완료 형식상고용주인팀장급예술인도고용보험이적용될 ㅇ 수있도록하는내용*을명시한‘문화예술용역운용지침서’ 마련및배포(’20.12월) * 형식상고용주인팀장급예술인이‘계약만대표로했을뿐, 팀원과 동일한지위에서노무를제공하는경우’ 사업주가아닌노무제공자에 해당하여예술인고용보험적용가능 「고용보험법시행령」개정안입법예고기간에신진및 ㅇ 경력단절예술인의정의를명확히할수있도록부처 의견을고용노동부에전달(공문서시행, ’20.10월), 관련 조항에수정반영됨(「고용보험법시행령」제104조의5 제1항제2호개정)",null,complete,34
UNMAPPED_REPORT_2020,20,37,건축물미술작품제도관련하여 건축주가미술작품설치시공모를 통해작품을설치하도록방안을 마련할것,"작품의다양성및예술성확보, 신진작가참여기회확대 ㅇ 등을위해공모제(국가, 지방자치단체, 공공기관, 지방공기업은 의무시행) 도입을반영한개정안발의 - 박정의원대표발의(’21.3.24.)",신속한입법을위해국회논의시적극협조 ㅇ,active,35
UNMAPPED_REPORT_2020,20,43,문체부에서제작지원하는공연 예술온라인콘텐츠를통한 수익창출이될수있도록 제반환경을조성하고한국형 NT Live 콘텐츠를개발할것,▲공연예술영상화안내서발간(’20. 12월) ▲온라인공연 ㅇ 대상공연소비할인권지원(’21. 5월～/ 1인당8천원할인) 등 온라인공연수익창출을위한제반환경조성추진,"국립극장고품질공연영상(<가무악칠채>, <묵향> 등8종) ㅇ 유통추진* OTT * 국립극장-SKT-콘텐츠웨이브업무협약체결(’20. 5월) 공연예술의부가상품으로서공연영상개발·유통을통해 ㅇ 민간단체의신규수익창출을지원하기위한’22년신규사업 추진(공연예술부가상품개발유통지원/ ’22년정부안10억원)",active,37
UNMAPPED_REPORT_2020,20,47,대구국제뮤지컬페스티벌(DIMF)의 문예기금대한민국공연예술제 지원의지정사업으로편성할것,"조치완료 검토결과: 대구국제뮤지컬페스티벌(DIMF) 문예기금대한민국 ㅇ 공연예술제지원의지정사업편성에대해, ▴장르간형평성, ▴지정방식사업추진의적절성등에대한신중검토필요 * ’21년문예기금미반영되었으나, 일반회계예산에반영(650백만원)",null,complete,37
UNMAPPED_REPORT_2020,20,50,"코로나19로인해공연단체가 공연을취소, 연기하는경우 민간공연장의합리적인위약금 기준을마련하고국가적지원을 확대할것 (지역문화정책관)",공연장대관실태조사실시(’20. 11월～12월) 및공연장대관 ㅇ 표준계약서개발연구용역추진(’21. 4월～) - 공연장대관표준계약서초안관련공연장·현장예술인 의견수렴실시(’21. 9월～) 민간공연예술단체의안정적창작활동을위해대관료지원 ㅇ 사업확대(’21년12.5억원→52.5억원/ 문예기금변경’21. 4월) * ’20년대관료지원사업규모: 당초23억원→기금변경63억원,"공연장대관표준계약서공청회개최등의견조회실시, ㅇ 표준계약서제정추진(’21. 12월)",active,38
UNMAPPED_REPORT_2020,20,54,국가균형발전을위해국립현대미술관 분관설치를검토할것,국립미술관건립수요증가관련국립문화시설확충및 ㅇ 지역균형발전을위한문화시설인프라구축필요성검토 - 타당성조사연구용역비‘22년300백만원정부안요구,국립문화시설확충및지역특화형문화시설지원방안연구 ㅇ 용역비예산반영노력(’21년4/4분기~),active,39
UNMAPPED_REPORT_2020,20,55,국보등보유박물관중내진설계가 미적용된박물관에대하여기준· 지침을마련할것,"지진대비박물관국보·보물등문화재의안전한보존·전시를 ㅇ 위해유물안전보존관리지침마련연구용역추진중(21.6. ∼11.) ㅇ국보보유사립·대학박물관내진설계관련예산정부안반영 * ’22년예산: 36억원(4억원×9개관, 국비50%. 지방비50%)",박물관의유물안전보존관리지침(매뉴얼) 배포 ㅇ - 의견수렴및지침(매뉴얼) 배포(’21.12월),active,39
UNMAPPED_REPORT_2020,20,60,정부대출사업에대한콘텐츠 업계의수혜확대를위해심사 기준완화등을관계부처와 협의할것,조치완료 콘텐츠기업에특화된맞춤형보증상품신설을위한신용보 ㅇ 증기금과협의(‘20.12. ’21.5.) * 재무심사항목축소등 K콘텐츠혁신성장보증상품추진(‘21.1.~) ㅇ,null,complete,40
UNMAPPED_REPORT_2020,20,74,"영상물등급위원회의등급분류 적정성문제가지속제기되므로, 영상물자체등급분류제도도입 등검토필요",온라인비디오물에대한자체등급분류및영등위의사후 ㅇ 관리방안등을포함하는「영화및비디오물의진흥에 관한법률」개정안입법예고(‘21.7월),「영화비디오법」개정을위한관계부처협의등노력지속 ㅇ,active,44
UNMAPPED_REPORT_2020,20,82,경남지역게임산업의거점으로 경남글로벌게임센터를구축하는 방안을검토할것,지역기반게임산업육성중장기운영방안수립(’21.5월) ㅇ,"ㅇ지역게임센터추가구축관련사업타당성, 지역의산업기반및 본사업의취지부합여부등을종합적으로검토하여추진",active,45
UNMAPPED_REPORT_2020,20,86,"연예인의스태프대상갑질 근절을위해실태조사방식을 보완하고, 기획업자 대상 교육을실시하는등대책을 마련할것","조치완료 대중문화예술인매니저실태조사발간(’21.2월) ㅇ - 연예인의매니저부당대우, 개선필요근무환경등조사 대중문화예술기획업자법정교육시갑질예방교육시행(’21.5월~) ㅇ",null,complete,46
